"Rank","Name","Platform","Year","Genre","Publisher","Global_Sales"
"50","Pokemon Omega Ruby/Pokemon Alpha Sapphire","3DS","2014","Role-Playing","Nintendo","11.33"
"51","Super Mario Land 2: 6 Golden Coins","GB","1992","Adventure","Nintendo","11.18"
"52","Grand Theft Auto IV","X360","2008","Action","Take-Two Interactive","11.02"
"53","Gran Turismo","PS","1997","Racing","Sony Computer Entertainment","10.95"
"54","Super Mario 3D Land","3DS","2011","Platform","Nintendo","10.79"
"55","Gran Turismo 5","PS3","2010","Racing","Sony Computer Entertainment","10.77"
"56","Call of Duty: Modern Warfare 2","PS3","2009","Shooter","Activision","10.69"
"57","Grand Theft Auto IV","PS3","2008","Action","Take-Two Interactive","10.57"
"58","Super Mario All-Stars","SNES","1993","Platform","Nintendo","10.55"
"59","Pokemon FireRed/Pokemon LeafGreen","GBA","2004","Role-Playing","Nintendo","10.49"
"60","Super Mario 64","DS","2004","Platform","Nintendo","10.42"
"61","Just Dance 3","Wii","2011","Misc","Ubisoft","10.26"
"62","Call of Duty: Ghosts","X360","2013","Shooter","Activision","10.21"
"63","Halo: Reach","X360","2010","Shooter","Microsoft Game Studios","9.88"
"64","Mario Kart 64","N64","1996","Racing","Nintendo","9.87"
"65","New Super Mario Bros. 2","3DS","2012","Platform","Nintendo","9.82"
"66","Halo 4","X360","2012","Shooter","Microsoft Game Studios","9.76"
"67","Final Fantasy VII","PS","1997","Role-Playing","Sony Computer Entertainment","9.72"
"68","Call of Duty: Ghosts","PS3","2013","Shooter","Activision","9.59"
"69","Just Dance 2","Wii","2010","Misc","Ubisoft","9.52"
"70","Gran Turismo 2","PS","1999","Racing","Sony Computer Entertainment","9.49"
"71","Call of Duty 4: Modern Warfare","X360","2007","Shooter","Activision","9.32"
"72","Donkey Kong Country","SNES","1994","Platform","Nintendo","9.3"
"73","Minecraft","X360","2013","Misc","Microsoft Game Studios","9.2"
"74","Animal Crossing: New Leaf","3DS","2012","Simulation","Nintendo","9.09"
"75","Mario Party DS","DS","2007","Misc","Nintendo","9.02"
"76","The Elder Scrolls V: Skyrim","X360","2011","Role-Playing","Bethesda Softworks","8.84"
"77","Super Mario Kart","SNES","1992","Racing","Nintendo","8.76"
"78","FIFA 16","PS4","2015","Sports","Electronic Arts","8.49"
"79","Wii Party","Wii","2010","Misc","Nintendo","8.49"
"80","Halo 2","XB","2004","Shooter","Microsoft Game Studios","8.49"
"81","Mario Party 8","Wii","2007","Misc","Nintendo","8.42"
"82","Pokemon Black 2/Pokemon White 2","DS","2012","Role-Playing","Nintendo","8.33"
"83","FIFA Soccer 13","PS3","2012","Action","Electronic Arts","8.24"
"84","The Sims 3","PC","2009","Simulation","Electronic Arts","8.11"
"85","GoldenEye 007","N64","1997","Shooter","Nintendo","8.09"
"86","Mario & Sonic at the Olympic Games","Wii","2007","Sports","Sega","8.06"
"87","Final Fantasy X","PS2","2001","Role-Playing","Sony Computer Entertainment","8.05"
"88","Final Fantasy VIII","PS","1999","Role-Playing","SquareSoft","7.86"
"89","Pokémon Platinum Version","DS","2008","Role-Playing","Nintendo","7.84"
"90","Pac-Man","2600","1982","Puzzle","Atari","7.81"
"91","Grand Theft Auto: Liberty City Stories","PSP","2005","Action","Take-Two Interactive","7.72"
"92","Super Mario Galaxy 2","Wii","2010","Platform","Nintendo","7.69"
"93","Star Wars Battlefront (2015)","PS4","2015","Shooter","Electronic Arts","7.67"
"94","Call of Duty: Advanced Warfare","PS4","2014","Shooter","Activision","7.6"
"95","The Legend of Zelda: Ocarina of Time","N64","1998","Action","Nintendo","7.6"
"96","Crash Bandicoot 2: Cortex Strikes Back","PS","1997","Platform","Sony Computer Entertainment","7.58"
"97","Super Mario Bros. 2","NES","1988","Platform","Nintendo","7.46"
"98","Super Smash Bros. for Wii U and 3DS","3DS","2014","Fighting","Nintendo","7.45"
"99","Call of Duty: World at War","X360","2008","Shooter","Activision","7.37"
"100","Battlefield 3","X360","2011","Shooter","Electronic Arts","7.34"
"101","The Legend of Zelda: Twilight Princess","Wii","2006","Action","Nintendo","7.31"
"102","Call of Duty: Black Ops 3","XOne","2015","Shooter","Activision","7.3"
"103","Just Dance","Wii","2009","Misc","Ubisoft","7.27"
"104","Battlefield 3","PS3","2011","Shooter","Electronic Arts","7.23"
"105","Need for Speed Underground","PS2","2003","Racing","Electronic Arts","7.2"
"106","Tekken 3","PS","1998","Fighting","Sony Computer Entertainment","7.16"
"107","Crash Bandicoot 3: Warped","PS","1998","Platform","Sony Computer Entertainment","7.13"
"108","Super Smash Bros. Melee","GC","2001","Fighting","Nintendo","7.07"
"109","Mario Kart 8","WiiU","2014","Racing","Nintendo","6.96"
"110","Fallout 4","PS4","2015","Role-Playing","Bethesda Softworks","6.96"
"111","Mario Kart: Double Dash!!","GC","2003","Racing","Nintendo","6.95"
"112","Just Dance 4","Wii","2012","Misc","Ubisoft","6.91"
"113","FIFA 14","PS3","2013","Sports","Electronic Arts","6.9"
"114","Need for Speed Underground 2","PS2","2004","Racing","Electronic Arts","6.9"
"115","Medal of Honor: Frontline","PS2","2002","Shooter","Electronic Arts","6.83"
"116","Uncharted 3: Drake's Deception","PS3","2011","Action","Sony Computer Entertainment","6.83"
"117","Crash Bandicoot","PS","1996","Platform","Sony Computer Entertainment","6.82"
"118","Zumba Fitness","Wii","2010","Sports","505 Games","6.81"
"119","Gears of War 2","X360","2008","Shooter","Microsoft Game Studios","6.76"
"120","Uncharted 2: Among Thieves","PS3","2009","Action","Sony Computer Entertainment","6.73"
"121","Call of Duty 4: Modern Warfare","PS3","2007","Shooter","Activision","6.72"
"122","FIFA 12","PS3","2011","Sports","Electronic Arts","6.69"
"123","Big Brain Academy","DS","2005","Misc","Nintendo","6.67"
"124","Red Dead Redemption","PS3","2010","Action","Take-Two Interactive","6.6"
"125","FIFA 15","PS4","2014","Sports","Electronic Arts","6.59"
"126","Donkey Kong Country Returns","Wii","2010","Platform","Nintendo","6.59"
"127","The Elder Scrolls V: Skyrim","PS3","2011","Role-Playing","Bethesda Softworks","6.56"
"128","The Legend of Zelda","NES","1986","Action","Nintendo","6.51"
"129","Assassin's Creed III","PS3","2012","Action","Ubisoft","6.5"
"130","Halo: Combat Evolved","XB","2001","Shooter","Microsoft Game Studios","6.43"
"131","Pokémon Emerald Version","GBA","2004","Role-Playing","Nintendo","6.41"
"132","Kingdom Hearts","PS2","2002","Role-Playing","Sony Computer Entertainment","6.4"
"133","Pokémon Crystal Version","GB","2000","Role-Playing","Nintendo","6.39"
"134","Halo 3: ODST","X360","2009","Shooter","Microsoft Game Studios","6.36"
"135","Red Dead Redemption","X360","2010","Action","Take-Two Interactive","6.34"
"136","Super Mario Sunshine","GC","2002","Platform","Nintendo","6.31"
"137","Street Fighter II: The World Warrior","SNES","1992","Fighting","Capcom","6.3"
"138","World of Warcraft","PC","2004","Role-Playing","Activision","6.28"
"139","Driver","PS","1999","Action","GT Interactive","6.27"
"140","Kinect Sports","X360","2010","Sports","Microsoft Game Studios","6.24"
"141","Gears of War 3","X360","2011","Shooter","Microsoft Game Studios","6.24"
"142","Gears of War","X360","2006","Shooter","Microsoft Game Studios","6.11"
"143","Metal Gear Solid 2: Sons of Liberty","PS2","2001","Action","Konami Digital Entertainment","6.05"
"144","Sonic the Hedgehog 2","GEN","1992","Platform","Sega","6.03"
"145","Metal Gear Solid 4: Guns of the Patriots","PS3","2008","Action","Konami Digital Entertainment","6.03"
"146","Metal Gear Solid","PS","1998","Action","Konami Digital Entertainment","6.03"
"147","The Last of Us","PS3","2013","Action","Sony Computer Entertainment Europe","5.99"
"148","Final Fantasy XII","PS2","2006","Role-Playing","Square Enix","5.95"
"149","LittleBigPlanet","PS3","2008","Platform","Sony Computer Entertainment","5.92"
"150","Dragon Quest IX: Sentinels of the Starry Skies","DS","2009","Role-Playing","Nintendo","5.84"
"151","LEGO Star Wars: The Complete Saga","Wii","2007","Action","LucasArts","5.83"
"152","Resident Evil 2","PS","1998","Action","Virgin Interactive","5.82"
"153","Tekken 2","PS","1996","Fighting","Sony Computer Entertainment","5.74"
"154","Cooking Mama","DS","2006","Simulation","505 Games","5.72"
"155","Destiny","PS4","2014","Shooter","Activision","5.65"
"156","Tetris","NES","1988","Puzzle","Nintendo","5.58"
"157","Assassin's Creed II","PS3","2009","Action","Ubisoft","5.57"
"158","Super Smash Bros.","N64","1999","Fighting","Nintendo","5.55"
"159","Assassin's Creed","X360","2007","Adventure","Ubisoft","5.55"
"160","Batman: Arkham City","PS3","2011","Action","Warner Bros. Interactive Entertainment","5.53"
"161","Forza Motorsport 3","X360","2009","Racing","Microsoft Game Studios","5.51"
"162","Monster Hunter Freedom Unite","PSP","2008","Role-Playing","Capcom","5.5"
"163","Super Mario Advance","GBA","2001","Platform","Nintendo","5.49"
"164","Mario Kart: Super Circuit","GBA","2001","Racing","Nintendo","5.47"
"165","Super Mario World","GBA","2001","Platform","Nintendo","5.46"
"166","Pokemon Stadium","N64","1999","Strategy","Nintendo","5.45"
"167","Call of Duty: World at War","PS3","2008","Shooter","Activision","5.43"
"168","Crash Bandicoot: The Wrath of Cortex","PS2","2001","Platform","Universal Interactive","5.42"
"169","Minecraft","PS3","2014","Misc","Sony Computer Entertainment","5.42"
"170","Final Fantasy XIII","PS3","2009","Role-Playing","Square Enix","5.36"
"171","Dr. Mario","GB","1989","Puzzle","Nintendo","5.34"
"172","Pokemon Pinball","GB","1999","Misc","Nintendo","5.31"
"173","Assassin's Creed III","X360","2012","Action","Ubisoft","5.3"
"174","Final Fantasy IX","PS","2000","Role-Playing","SquareSoft","5.3"
"175","Final Fantasy X-2","PS2","2003","Role-Playing","Electronic Arts","5.29"
"176","Donkey Kong 64","N64","1999","Platform","Nintendo","5.27"
"177","Assassin's Creed II","X360","2009","Action","Ubisoft","5.27"
"178","Professor Layton and the Curious Village","DS","2007","Puzzle","Nintendo","5.26"
"179","Tomb Raider II","PS","1997","Action","Eidos Interactive","5.24"
"180","Madden NFL 2004","PS2","N/A","Sports","Electronic Arts","5.23"
"181","Dragon Quest VIII: Journey of the Cursed King","PS2","2004","Role-Playing","Square Enix","5.21"
"182","Diablo III","PC","2012","Role-Playing","Activision","5.2"
"183","Super Mario Bros. 3","GBA","2003","Platform","Nintendo","5.2"
"184","New Super Mario Bros. U","WiiU","2012","Platform","Nintendo","5.19"
"185","Super Mario Land 3: Wario Land","GB","1994","Platform","Nintendo","5.19"
"186","FIFA Soccer 13","X360","2012","Action","Electronic Arts","5.18"
"187","The Legend of Zelda: Phantom Hourglass","DS","2007","Action","Nintendo","5.17"
"188","Donkey Kong Country 2: Diddy's Kong Quest","SNES","1995","Platform","Nintendo","5.15"
"189","Tomodachi Life","3DS","2013","Simulation","Nintendo","5.15"
"190","Mario & Sonic at the Olympic Games","DS","2008","Sports","Sega","5.14"
"191","Medal of Honor: Rising Sun","PS2","2003","Shooter","Electronic Arts","5.13"
"192","Kirby's Dream Land","GB","1992","Platform","Nintendo","5.13"
"193","Fable III","X360","2010","Role-Playing","Microsoft Game Studios","5.13"
"194","Call of Duty: Advanced Warfare","XOne","2014","Shooter","Activision","5.13"
"195","Microsoft Flight Simulator","PC","1996","Simulation","Microsoft Game Studios","5.12"
"196","Guitar Hero II","PS2","2006","Misc","RedOctane","5.12"
"197","Resident Evil 5","PS3","2009","Action","Capcom","5.11"
"198","Grand Theft Auto V","XOne","2014","Action","Take-Two Interactive","5.08"
"199","Grand Theft Auto: Vice City Stories","PSP","2006","Action","Take-Two Interactive","5.08"
"200","FIFA Soccer 11","PS3","2010","Sports","Electronic Arts","5.08"
"201","Super Mario Bros.","GB","1999","Platform","Nintendo","5.07"
"202","Resident Evil","PS","1996","Action","Virgin Interactive","5.05"
"203","Tony Hawk's Pro Skater","PS","1999","Sports","Activision","5.02"
"204","Super Smash Bros. for Wii U and 3DS","WiiU","2014","Fighting","Nintendo","5.02"
"205","Warzone 2100","PS","1999","Strategy","Eidos Interactive","5.01"
"206","Spyro the Dragon","PS","1998","Platform","Sony Computer Entertainment","5"
"207","Link's Crossbow Training","Wii","2007","Shooter","Nintendo","5"
"208","Guitar Hero III: Legends of Rock","PS2","2007","Misc","Activision","4.98"
"209","Fallout 3","X360","2008","Role-Playing","Bethesda Softworks","4.96"
"210","Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness","DS","2007","Role-Playing","Nintendo","4.96"
"211","Uncharted: Drake's Fortune","PS3","2007","Action","Sony Computer Entertainment","4.94"
"212","Madden NFL 06","PS2","2005","Sports","Electronic Arts","4.91"
"213","LEGO Star Wars: The Complete Saga","DS","2007","Action","LucasArts","4.9"
"214","Diddy Kong Racing","N64","1997","Racing","Nintendo","4.88"
"215","Monster Hunter Freedom 3","PSP","2010","Role-Playing","Capcom","4.87"
"216","Dr. Mario","NES","1990","Puzzle","Nintendo","4.85"
"217","God of War III","PS3","2010","Action","Sony Computer Entertainment","4.84"
"218","StarCraft II: Wings of Liberty","PC","2010","Strategy","Activision","4.83"
"219","Assassin's Creed","PS3","2007","Adventure","Ubisoft","4.83"
"220","FIFA 15","PS3","2014","Sports","Electronic Arts","4.82"
"221","Crash Team Racing","PS","1999","Racing","Sony Computer Entertainment","4.79"
"222","FIFA 17","PS4","2016","Sports","Electronic Arts","4.77"
"223","Batman: Arkham City","X360","2011","Action","Warner Bros. Interactive Entertainment","4.76"
"224","Driver 2","PS","2000","Action","Atari","4.73"
"225","The Simpsons: Hit & Run","PS2","2003","Racing","Vivendi Games","4.7"
"226","Tony Hawk's Pro Skater 2","PS","2000","Sports","Activision","4.68"
"227","Animal Crossing: City Folk","Wii","2008","Simulation","Nintendo","4.68"
"228","The Lord of the Rings: The Two Towers","PS2","2002","Action","Electronic Arts","4.67"
"229","Forza Motorsport 4","X360","2011","Racing","Microsoft Game Studios","4.64"
"230","Tomb Raider","PS","1996","Action","Eidos Interactive","4.63"
"231","Guitar Hero III: Legends of Rock","Wii","2007","Misc","Activision","4.62"
"232","The Legend of Zelda: A Link to the Past","SNES","1991","Action","Nintendo","4.61"
"233","The Legend of Zelda: The Wind Waker","GC","2002","Action","Nintendo","4.6"
"234","Mario & Sonic at the Olympic Winter Games","Wii","2009","Sports","Sega","4.58"
"235","Luigi's Mansion: Dark Moon","3DS","2013","Action","Nintendo","4.58"
"236","Splatoon","WiiU","2015","Shooter","Nintendo","4.57"
"237","The Last of Us","PS4","2014","Action","Sony Computer Entertainment","4.55"
"238","Guitar Hero III: Legends of Rock","X360","2007","Misc","Activision","4.53"
"239","Madden NFL 2005","PS2","2004","Sports","Electronic Arts","4.53"
"240","Pitfall!","2600","1981","Platform","Activision","4.5"
"241","Madden NFL 07","PS2","2006","Sports","Electronic Arts","4.49"
"242","Spider-Man: The Movie","PS2","2002","Action","Activision","4.48"
"243","Dragon Quest VII: Warriors of Eden","PS","2000","Role-Playing","Enix Corporation","4.47"
"244","Uncharted: The Nathan Drake Collection","PS4","2015","Action","Sony Computer Entertainment","4.47"
"245","Call of Duty: Advanced Warfare","PS3","2014","Shooter","Activision","4.45"
"246","God of War","PS2","2005","Action","Sony Computer Entertainment","4.45"
"247","Nintendo Land","WiiU","2012","Misc","Nintendo","4.44"
"248","Michael Jackson: The Experience","Wii","2010","Misc","Ubisoft","4.42"
"249","Tony Hawk's Pro Skater 3","PS2","2001","Sports","Activision","4.41"
"250","Winning Eleven: Pro Evolution Soccer 2007","PS2","2006","Sports","Konami Digital Entertainment","4.39"
"251","The Elder Scrolls IV: Oblivion","X360","2006","Role-Playing","Take-Two Interactive","4.39"
"252","Zelda II: The Adventure of Link","NES","1987","Adventure","Nintendo","4.38"
"253","Need for Speed: Most Wanted","PS2","2005","Racing","Electronic Arts","4.37"
"254","Resistance: Fall of Man","PS3","2006","Shooter","Sony Computer Entertainment","4.35"
"255","Sonic the Hedgehog","GEN","1991","Platform","Sega","4.34"
"256","Kingdom Hearts II","PS2","2005","Role-Playing","Square Enix","4.33"
"257","FIFA 14","X360","2013","Sports","Electronic Arts","4.31"
"258","Call of Duty: Advanced Warfare","X360","2014","Shooter","Activision","4.31"
"259","Asteroids","2600","1980","Shooter","Atari","4.31"
"260","Fable II","X360","2008","Role-Playing","Microsoft Game Studios","4.31"
"261","Halo 5: Guardians","XOne","2015","Shooter","Microsoft Game Studios","4.26"
"262","Super Mario 3D World","WiiU","2013","Platform","Nintendo","4.25"
"263","Batman: Arkham Asylum","PS3","2009","Action","Eidos Interactive","4.25"
"264","Assassin's Creed: Revelations","PS3","2011","Action","Ubisoft","4.24"
"265","Namco Museum","GBA","2001","Misc","Namco Bandai Games","4.24"
"266","Metal Gear Solid 3: Snake Eater","PS2","2004","Action","Konami Digital Entertainment","4.23"
"267","Daxter","PSP","2006","Platform","Sony Computer Entertainment","4.22"
"268","Warcraft II: Tides of Darkness","PC","1995","Strategy","Activision","4.21"
"269","The Legend of Zelda: Ocarina of Time","3DS","2011","Action","Nintendo","4.21"
"270","FIFA Soccer 06","PS2","2005","Sports","Electronic Arts","4.21"
"271","EyeToy Play","PS2","2003","Misc","Sony Computer Entertainment","4.2"
"272","Uncharted 4: A Thief's End","PS4","2016","Shooter","Sony Computer Entertainment","4.2"
"273","Gran Turismo 5 Prologue","PS3","2007","Racing","Sony Computer Entertainment","4.2"
"274","Assassin's Creed: Revelations","X360","2011","Action","Ubisoft","4.19"
"275","Street Fighter IV","PS3","2009","Fighting","Capcom","4.19"
"276","FIFA 12","X360","2011","Sports","Electronic Arts","4.19"
"277","Teenage Mutant Ninja Turtles","NES","1989","Action","Palcom","4.17"
"278","Excitebike","NES","1984","Racing","Nintendo","4.16"
"279","Frogger","PS","1997","Action","Hasbro Interactive","4.16"
"280","Madden NFL 2003","PS2","2002","Sports","Electronic Arts","4.14"
"281","Watch Dogs","PS4","2014","Action","Ubisoft","4.14"
"282","Half-Life","PC","1997","Shooter","Vivendi Games","4.12"
"283","Super Mario World 2: Yoshi's Island","SNES","1995","Platform","Nintendo","4.12"
"284","FIFA Soccer 07","PS2","2006","Sports","Electronic Arts","4.11"
"285","The Legend of Zelda: Skyward Sword","Wii","2011","Action","Nintendo","4.1"
"286","Street Fighter II Turbo","SNES","1992","Fighting","Capcom","4.1"
"287","Carnival Games","Wii","2007","Misc","Take-Two Interactive","4.1"
"288","Fallout 4","XOne","2015","Role-Playing","Bethesda Softworks","4.09"
"289","World of Warcraft: The Burning Crusade","PC","2007","Role-Playing","Activision","4.09"
"290","Fallout: New Vegas","X360","2010","Role-Playing","Bethesda Softworks","4.08"
"291","God of War II","PS2","2007","Action","Sony Computer Entertainment","4.07"
"292","Forza Motorsport 2","X360","2007","Racing","Microsoft Game Studios","4.06"
"293","World Soccer Winning Eleven 9","PS2","2005","Sports","Konami Digital Entertainment","4.06"
"294","Namco Museum Vol.3","PS","1996","Misc","Sony Computer Entertainment","4.05"
"295","Tekken Tag Tournament","PS2","2000","Fighting","Namco Bandai Games","4.05"
"296","Far Cry 4","PS4","2014","Shooter","Ubisoft","4.03"
"297","Star Fox 64","N64","1997","Shooter","Nintendo","4.03"
"298","Minecraft","PS4","2014","Misc","Sony Computer Entertainment Europe","4.02"
"299","Golf","NES","1984","Sports","Nintendo","4.01"
"300","Fallout 3","PS3","2008","Role-Playing","Bethesda Softworks","4.01"
"301","Professor Layton and the Diabolical Box","DS","2007","Puzzle","Nintendo","4"
"302","Left 4 Dead 2","X360","2009","Shooter","Electronic Arts","3.99"
"303","Namco Museum: 50th Anniversary","PS2","2005","Misc","Namco Bandai Games","3.98"
"304","EA Sports Active","Wii","2009","Sports","Electronic Arts","3.92"
"305","Assassin's Creed: Unity","PS4","2014","Action","Ubisoft","3.92"
"306","Donkey Kong Land","GB","1994","Platform","Nintendo","3.91"
"307","Tony Hawk's Underground","PS2","2003","Sports","Activision","3.9"
"308","Assassin's Creed IV: Black Flag","PS3","2013","Action","Ubisoft","3.89"
"309","Monster Hunter 4 Ultimate","3DS","2014","Role-Playing","Nintendo","3.89"
"310","MotorStorm","PS3","2006","Racing","Sony Computer Entertainment","3.88"
"311","The Elder Scrolls V: Skyrim","PC","2011","Role-Playing","Bethesda Softworks","3.88"
"312","Tekken 5","PS2","2005","Fighting","Namco Bandai Games","3.87"
"313","Dragon Warrior III","NES","1988","Role-Playing","Enix Corporation","3.87"
"314","Sports Champions","PS3","2010","Sports","Sony Computer Entertainment","3.87"
"315","NBA 2K16","PS4","2015","Sports","Take-Two Interactive","3.85"
"316","World Soccer Winning Eleven 8 International","PS2","2004","Sports","Konami Digital Entertainment","3.85"
"317","Flash Focus: Vision Training in Minutes a Day","DS","2007","Misc","Nintendo","3.84"
"318","Namco Museum Vol.1","PS","1995","Misc","Sony Computer Entertainment","3.84"
"319","The Legend of Zelda: Link's Awakening","GB","1992","Action","Nintendo","3.83"
"320","Mario & Luigi: Bowser's Inside Story","DS","2009","Role-Playing","Nintendo","3.83"
"321","Big Brain Academy: Wii Degree","Wii","2007","Misc","Nintendo","3.82"
"322","Nintendogs + cats","3DS","2011","Simulation","Nintendo","3.81"
"323","Batman: Arkham Knight","PS4","2015","Action","Warner Bros. Interactive Entertainment","3.79"
"324","Mario & Sonic at the London 2012 Olympic Games","Wii","2011","Sports","Sega","3.78"
"325","LEGO Indiana Jones: The Original Adventures","X360","2008","Action","Activision","3.78"
"326","Resident Evil Director's Cut","PS","1996","Action","Virgin Interactive","3.77"
"327","Ratchet & Clank: Size Matters","PSP","2007","Platform","Sony Computer Entertainment","3.77"
"328","Just Dance 2014","Wii","2013","Misc","Ubisoft","3.76"
"329","The Sims: Unleashed","PC","2002","Simulation","Electronic Arts","3.76"
"330","Super Paper Mario","Wii","2007","Platform","Nintendo","3.76"
"331","Harry Potter and the Sorcerer's Stone","PS","2001","Action","Electronic Arts","3.73"
"332","The Witcher 3: Wild Hunt","PS4","2015","Role-Playing","Namco Bandai Games","3.73"
"333","Resident Evil 3: Nemesis","PS","1999","Action","Eidos Interactive","3.72"
"334","Spyro: Year of the Dragon","PS","2000","Platform","Sony Computer Entertainment","3.71"
"335","FIFA Soccer 2005","PS2","2004","Sports","Electronic Arts","3.7"
"336","Pokémon Trading Card Game","GB","1998","Strategy","Nintendo","3.7"
"337","Battlefield 4","PS3","2013","Shooter","Electronic Arts","3.69"
"338","MySims","DS","2007","Simulation","Electronic Arts","3.69"
"339","Friend Collection","DS","2009","Misc","Nintendo","3.67"
"340","Tony Hawk's Pro Skater 4","PS2","2002","Sports","Activision","3.67"
"341","Midnight Club 3: DUB Edition","PSP","2005","Racing","Take-Two Interactive","3.66"
"342","Banjo-Kazooie","N64","1998","Platform","Nintendo","3.65"
"343","SOCOM: U.S. Navy SEALs","PS2","2002","Shooter","Sony Computer Entertainment","3.65"
"344","Guitar Hero: World Tour","Wii","2008","Misc","Activision","3.65"
"345","Gran Turismo 6","PS3","2013","Racing","Sony Computer Entertainment","3.64"
"346","Jak and Daxter: The Precursor Legacy","PS2","2001","Platform","Sony Computer Entertainment","3.64"
"347","Pokemon Snap","N64","1999","Simulation","Nintendo","3.63"
"348","FIFA Soccer 10","PS3","2009","Sports","Electronic Arts","3.63"
"349","Pro Evolution Soccer 2008","PS2","2007","Sports","Konami Digital Entertainment","3.63"
"350","Call of Duty: Ghosts","PS4","2013","Shooter","Activision","3.63"
"351","Resident Evil 4","PS2","2005","Action","Capcom","3.62"
"352","Tom Clancy's The Division","PS4","2016","Shooter","Ubisoft","3.61"
"353","Star Wars: Battlefront","PS2","2004","Shooter","LucasArts","3.61"
"354","Doom II: Hell on Earth","PC","1994","Shooter","Virgin Interactive","3.61"
"355","The Simpsons: Road Rage","PS2","2001","Racing","Electronic Arts","3.61"
"356","Cooking Mama 2: Dinner With Friends","DS","2007","Simulation","505 Games","3.61"
"357","Luigi's Mansion","GC","2001","Action","Nintendo","3.6"
"358","Star Wars: Battlefront II","PS2","2005","Shooter","LucasArts","3.59"
"359","WWF SmackDown!","PS","2000","Fighting","THQ","3.58"
